complaint_text,category,priority,department
Water is not available in hostel Main Block,Hostel,Low,Hostel Office
Login page of the portal is not loading,Software,Medium,Development
Appointment letter not issued yet,HR,Medium,HR
Student portal is down and I cannot login,Software,High,Development
Unable to upload transcript on the student portal,Software,High,Development
WiFi signal is very weak near Library,Network,High,IT
Cleanliness issue in Lab 2,Administration,Low,Admin Office
Mess food quality complaint for Boys Hostel,Hostel,Low,Hostel Office
Electricity issue in hostel room A-101,Hostel,Low,Hostel Office
Noise complaint from Girls Hostel during exams,Administration,Low,Admin Office
Refund request for profile picture not processed,Finance,Medium,Accounts
Security guard misbehavior reported near Admin Block,Administration,Low,Admin Office
Keyboard in Auditorium lab is broken,Hardware,Low,IT
Appointment letter not issued yet,HR,High,HR
Fee already paid but portal shows course registration pending,Finance,High,Accounts
WiFi signal is very weak near Admin Block,Network,Medium,IT
Washroom in hostel Reading Room needs urgent repair,Hostel,Medium,Hostel Office
HR is not responding to my resignation email,HR,High,HR
HR is not responding to my resignation email,HR,High,HR
Refund request for transcript not processed,Finance,High,Accounts
Exam datesheet clash between course registration and Data Structures,Academic,Medium,Academic Office
Noise complaint from Seminar Hall during exams,Administration,Medium,Admin Office
WiFi is not working in Lab 2,Network,Medium,IT
Water is not available in hostel Lab 3,Hostel,High,Hostel Office
Result of profile picture not uploaded on portal,Academic,High,Academic Office
Electricity issue in hostel room B-103,Hostel,Medium,Hostel Office
Unable to connect to the campus WiFi from Admin Block,Network,High,IT
Attendance shortage error for transcript course,Academic,High,Academic Office
Salary not received for the month of October,HR,High,HR
Incorrect GPA shown for semester 7th,Academic,Medium,Academic Office
Water is not available in hostel Girls Hostel,Hostel,Medium,Hostel Office
Scanner in Seminar Hall is out of order,Hardware,Medium,IT
Student portal is down and I cannot login,Software,High,Development
Portal shows error 500 when submitting leave application,Software,Medium,Development
Portal shows error 500 when submitting thesis document,Software,Medium,Development
Scholarship amount not credited for December,Finance,Medium,Accounts
Provident fund details are missing for March,HR,High,HR
Projector in Auditorium is not turning on,Hardware,Low,IT
Appointment letter not issued yet,HR,High,HR
Portal shows error 500 when submitting leave application,Software,High,Development
Scholarship amount not credited for August,Finance,Medium,Accounts
Monitor in Boys Hostel has a black screen,Hardware,Low,IT
Hostel WiFi not working in room A-106,Hostel,High,Hostel Office
Monitor in Admin Block has a black screen,Hardware,Low,IT
Security guard misbehavior reported near Sports Complex,Administration,Low,Admin Office
Washroom in hostel Seminar Hall needs urgent repair,Hostel,High,Hostel Office
Monitor in Lab 3 has a black screen,Hardware,Low,IT
Student portal is down and I cannot login,Software,High,Development
Hostel room C-105 AC is not working,Hostel,Low,Hostel Office
Attendance shortage error for transcript course,Academic,Medium,Academic Office
Scanner in Seminar Hall is out of order,Hardware,Low,IT
Provident fund details are missing for August,HR,Medium,HR
Unable to connect to the campus WiFi from Seminar Hall,Network,Medium,IT
Electricity issue in hostel room D-114,Hostel,Medium,Hostel Office
Leave request not approved since July,HR,High,HR
WiFi signal is very weak near Lab 2,Network,Medium,IT
Incorrect deduction shown in July salary slip,HR,High,HR
Leave request not approved since February,HR,High,HR
Unable to upload assignment on the student portal,Software,Medium,Development
Course registration issue for leave application,Academic,Medium,Academic Office
Fee voucher is showing incorrect amount,Finance,High,Accounts
Monitor in Girls Hostel has a black screen,Hardware,Low,IT
Portal is showing incorrect fee challan details,Software,Medium,Development
Printer in Auditorium is not printing,Hardware,Low,IT
Provident fund details are missing for December,HR,High,HR
Hostel WiFi not working in room A-110,Hostel,Medium,Hostel Office
Bank transaction failed but amount deducted for internship report,Finance,High,Accounts
Duplicate fee charged for leave application,Finance,Medium,Accounts
Mobile app crashes when I open transcript section,Software,Medium,Development
Salary not received for the month of June,HR,Medium,HR
Attendance shortage error for transcript course,Academic,Medium,Academic Office
Cleanliness issue in Sports Complex,Administration,Low,Admin Office
Water is not available in hostel Library,Hostel,Medium,Hostel Office
Computer in Boys Hostel is not booting up,Hardware,Low,IT
Cleanliness issue in Seminar Hall,Administration,Low,Admin Office
Incorrect GPA shown for semester 4th,Academic,High,Academic Office
Student portal is down and I cannot login,Software,High,Development
Incorrect deduction shown in May salary slip,HR,Medium,HR
Course registration issue for internship report,Academic,Medium,Academic Office
Projector in Auditorium is not turning on,Hardware,Medium,IT
Scholarship amount not credited for January,Finance,High,Accounts
Water is not available in hostel Main Block,Hostel,Medium,Hostel Office
Monitor in Computer Lab has a black screen,Hardware,Low,IT
Parking issue near Sports Complex,Administration,Low,Admin Office
Salary not received for the month of July,HR,High,HR
Incorrect deduction shown in September salary slip,HR,High,HR
LAN cable in Auditorium is not working,Network,Medium,IT
Attendance shortage error for internship report course,Academic,High,Academic Office
Bank transaction failed but amount deducted for fee challan,Finance,High,Accounts
LAN cable in Library is not working,Network,Medium,IT
Incorrect deduction shown in August salary slip,HR,High,HR
Printer in Lab 3 is not printing,Hardware,Medium,IT
Bank transaction failed but amount deducted for leave application,Finance,High,Accounts
Electricity issue in hostel room C-112,Hostel,Low,Hostel Office
Attendance shortage error for transcript course,Academic,Medium,Academic Office
WiFi signal is very weak near Auditorium,Network,High,IT
Unable to connect to the campus WiFi from Sports Complex,Network,Low,IT
Course registration issue for attendance sheet,Academic,High,Academic Office
Incorrect GPA shown for semester 5th,Academic,Medium,Academic Office
ID card not issued after October,Administration,Low,Admin Office
Course registration issue for assignment,Academic,Medium,Academic Office
Exam datesheet clash between thesis document and Data Structures,Academic,Medium,Academic Office
Network is extremely slow in Library,Network,Medium,IT
Refund request for assignment not processed,Finance,Medium,Accounts
Fee voucher is showing incorrect amount,Finance,High,Accounts
Fee already paid but portal shows result card pending,Finance,High,Accounts
Exam datesheet clash between internship report and Requirement Engineering,Academic,High,Academic Office
Electricity issue in hostel room B-105,Hostel,Medium,Hostel Office
Duplicate fee charged for course registration,Finance,Medium,Accounts
Fee already paid but portal shows result card pending,Finance,High,Accounts
Duplicate fee charged for fee challan,Finance,Medium,Accounts
Unable to connect to the campus WiFi from Lab 1,Network,Medium,IT
Printer in Sports Complex is not printing,Hardware,Medium,IT
ID card not issued after October,Administration,Medium,Admin Office
Unable to upload course registration on the student portal,Software,Medium,Development
Exam datesheet clash between fee challan and Database Systems,Academic,Medium,Academic Office
Keyboard in Sports Complex lab is broken,Hardware,Low,IT
Unable to connect to the campus WiFi from Seminar Hall,Network,Medium,IT
Salary not received for the month of October,HR,High,HR
Fee voucher is showing incorrect amount,Finance,High,Accounts
Login page of the portal is not loading,Software,Medium,Development
Bank transaction failed but amount deducted for transcript,Finance,Medium,Accounts
Transcript request pending since January,Academic,High,Academic Office
Incorrect deduction shown in October salary slip,HR,High,HR
Fee already paid but portal shows internship report pending,Finance,High,Accounts
WiFi signal is very weak near Sports Complex,Network,Low,IT
Transcript request pending since September,Academic,High,Academic Office
Mobile app crashes when I open assignment section,Software,High,Development
Bank transaction failed but amount deducted for fee challan,Finance,High,Accounts
Noise complaint from Library during exams,Administration,Low,Admin Office
Scanner in Seminar Hall is out of order,Hardware,Medium,IT
Portal is showing incorrect attendance sheet details,Software,Medium,Development
Monitor in Cafeteria has a black screen,Hardware,Low,IT
ID card not issued after June,Administration,Low,Admin Office
Noise complaint from Girls Hostel during exams,Administration,Low,Admin Office
Computer in Library is not booting up,Hardware,Low,IT
Fee voucher is showing incorrect amount,Finance,High,Accounts
Portal is showing incorrect leave application details,Software,High,Development
Portal is showing incorrect thesis document details,Software,High,Development
Keyboard in Cafeteria lab is broken,Hardware,Medium,IT
Refund request for fee challan not processed,Finance,Medium,Accounts
Mess food quality complaint for Reading Room,Hostel,Medium,Hostel Office
Salary not received for the month of June,HR,High,HR
Mobile app crashes when I open result card section,Software,High,Development
Cleanliness issue in Reading Room,Administration,Low,Admin Office
Computer in Seminar Hall is not booting up,Hardware,Medium,IT
WiFi is not working in Main Block,Network,Medium,IT
Network is extremely slow in Cafeteria,Network,Medium,IT
Security guard misbehavior reported near Lab 1,Administration,Medium,Admin Office
Attendance shortage error for transcript course,Academic,High,Academic Office
Cleanliness issue in Lab 3,Administration,Medium,Admin Office
Computer in Seminar Hall is not booting up,Hardware,Low,IT
Security guard misbehavior reported near Girls Hostel,Administration,Medium,Admin Office
Duplicate fee charged for profile picture,Finance,High,Accounts
Provident fund details are missing for June,HR,High,HR
Student portal is down and I cannot login,Software,High,Development
Projector in Library is not turning on,Hardware,Low,IT
LAN cable in Computer Lab is not working,Network,Low,IT
Noise complaint from Sports Complex during exams,Administration,Low,Admin Office
Mobile app crashes when I open internship report section,Software,Medium,Development
Bank transaction failed but amount deducted for assignment,Finance,High,Accounts
Leave request not approved since January,HR,Medium,HR
Attendance shortage error for internship report course,Academic,High,Academic Office
Keyboard in Lab 3 lab is broken,Hardware,Low,IT
WiFi signal is very weak near Boys Hostel,Network,High,IT
HR is not responding to my resignation email,HR,Medium,HR
Security guard misbehavior reported near Library,Administration,Low,Admin Office
Fee voucher is showing incorrect amount,Finance,High,Accounts
Bank transaction failed but amount deducted for course registration,Finance,Medium,Accounts
Scanner in Seminar Hall is out of order,Hardware,Low,IT
Bank transaction failed but amount deducted for assignment,Finance,Medium,Accounts
Hostel WiFi not working in room A-107,Hostel,Low,Hostel Office
HR is not responding to my resignation email,HR,High,HR
Student portal is down and I cannot login,Software,Medium,Development
WiFi signal is very weak near Cafeteria,Network,Medium,IT
Unable to connect to the campus WiFi from Auditorium,Network,High,IT
Attendance shortage error for thesis document course,Academic,High,Academic Office
Scanner in Lab 2 is out of order,Hardware,Low,IT
Network is extremely slow in Girls Hostel,Network,Low,IT
Result of profile picture not uploaded on portal,Academic,High,Academic Office
Unable to connect to the campus WiFi from Computer Lab,Network,Low,IT
Hostel room B-115 AC is not working,Hostel,Medium,Hostel Office
Computer in Sports Complex is not booting up,Hardware,Low,IT
Washroom in hostel Main Block needs urgent repair,Hostel,Low,Hostel Office
Cleanliness issue in Seminar Hall,Administration,Low,Admin Office
Bank transaction failed but amount deducted for course registration,Finance,Medium,Accounts
Mess food quality complaint for Reading Room,Hostel,Low,Hostel Office
Unable to upload thesis document on the student portal,Software,High,Development
Scholarship amount not credited for January,Finance,High,Accounts
Fee already paid but portal shows fee challan pending,Finance,High,Accounts
Cleanliness issue in Sports Complex,Administration,Low,Admin Office
Washroom in hostel Seminar Hall needs urgent repair,Hostel,High,Hostel Office
Leave request not approved since March,HR,Medium,HR
Computer in Cafeteria is not booting up,Hardware,Medium,IT
Incorrect GPA shown for semester 5th,Academic,High,Academic Office
Attendance shortage error for transcript course,Academic,Medium,Academic Office
Unable to connect to the campus WiFi from Auditorium,Network,Low,IT
Portal is showing incorrect internship report details,Software,Medium,Development
Leave request not approved since May,HR,High,HR
Cleanliness issue in Main Block,Administration,Medium,Admin Office
ID card not issued after May,Administration,Low,Admin Office
Salary not received for the month of July,HR,High,HR
Hostel room D-115 AC is not working,Hostel,Low,Hostel Office
Incorrect GPA shown for semester 7th,Academic,High,Academic Office
Water is not available in hostel Cafeteria,Hostel,Low,Hostel Office
Noise complaint from Lab 1 during exams,Administration,Medium,Admin Office
Printer in Computer Lab is not printing,Hardware,Low,IT
Mess food quality complaint for Admin Block,Hostel,Low,Hostel Office
Login page of the portal is not loading,Software,Medium,Development
Keyboard in Girls Hostel lab is broken,Hardware,Medium,IT
Washroom in hostel Cafeteria needs urgent repair,Hostel,Medium,Hostel Office
Scholarship amount not credited for January,Finance,High,Accounts
Incorrect GPA shown for semester 5th,Academic,High,Academic Office
Portal shows error 500 when submitting attendance sheet,Software,Medium,Development
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Salary not received for the month of April,HR,High,HR
Mess food quality complaint for Lab 1,Hostel,Medium,Hostel Office
Mess food quality complaint for Auditorium,Hostel,Medium,Hostel Office
Noise complaint from Admin Block during exams,Administration,Low,Admin Office
Incorrect GPA shown for semester 5th,Academic,Medium,Academic Office
ID card not issued after January,Administration,Low,Admin Office
Noise complaint from Reading Room during exams,Administration,Low,Admin Office
Network is extremely slow in Main Block,Network,Medium,IT
Printer in Lab 1 is not printing,Hardware,Low,IT
Fee already paid but portal shows assignment pending,Finance,High,Accounts
Portal is showing incorrect thesis document details,Software,High,Development
Water is not available in hostel Library,Hostel,Low,Hostel Office
Hostel room A-115 AC is not working,Hostel,Medium,Hostel Office
WiFi signal is very weak near Computer Lab,Network,Medium,IT
No response from admin office regarding course registration,Administration,Low,Admin Office
Scanner in Boys Hostel is out of order,Hardware,Low,IT
Washroom in hostel Computer Lab needs urgent repair,Hostel,Medium,Hostel Office
Student portal is down and I cannot login,Software,Medium,Development
LAN cable in Computer Lab is not working,Network,Medium,IT
Hostel room B-101 AC is not working,Hostel,Medium,Hostel Office
Monitor in Cafeteria has a black screen,Hardware,Low,IT
Bank transaction failed but amount deducted for result card,Finance,High,Accounts
ID card not issued after May,Administration,Low,Admin Office
Monitor in Sports Complex has a black screen,Hardware,Low,IT
Noise complaint from Computer Lab during exams,Administration,Low,Admin Office
Washroom in hostel Admin Block needs urgent repair,Hostel,Medium,Hostel Office
Result of profile picture not uploaded on portal,Academic,High,Academic Office
Salary not received for the month of March,HR,High,HR
Unable to connect to the campus WiFi from Girls Hostel,Network,Medium,IT
Parking issue near Computer Lab,Administration,Low,Admin Office
WiFi is not working in Lab 1,Network,Medium,IT
Noise complaint from Main Block during exams,Administration,Low,Admin Office
Washroom in hostel Lab 2 needs urgent repair,Hostel,Low,Hostel Office
Login page of the portal is not loading,Software,Medium,Development
Course registration issue for attendance sheet,Academic,High,Academic Office
Mess food quality complaint for Sports Complex,Hostel,Low,Hostel Office
Login page of the portal is not loading,Software,High,Development
Unable to connect to the campus WiFi from Lab 2,Network,Medium,IT
Internet connection keeps disconnecting in Main Block,Network,Low,IT
Keyboard in Seminar Hall lab is broken,Hardware,Low,IT
Printer in Boys Hostel is not printing,Hardware,Low,IT
Noise complaint from Lab 2 during exams,Administration,Medium,Admin Office
Appointment letter not issued yet,HR,Medium,HR
Salary not received for the month of February,HR,High,HR
Portal shows error 500 when submitting profile picture,Software,Medium,Development
Appointment letter not issued yet,HR,High,HR
Exam datesheet clash between profile picture and Requirement Engineering,Academic,High,Academic Office
Cleanliness issue in Main Block,Administration,Low,Admin Office
Incorrect deduction shown in August salary slip,HR,High,HR
Result of course registration not uploaded on portal,Academic,Medium,Academic Office
Unable to connect to the campus WiFi from Admin Block,Network,Low,IT
Printer in Library is not printing,Hardware,Medium,IT
Noise complaint from Cafeteria during exams,Administration,Low,Admin Office
Course registration issue for result card,Academic,High,Academic Office
Transcript request pending since December,Academic,High,Academic Office
Incorrect GPA shown for semester 3rd,Academic,High,Academic Office
Portal shows error 500 when submitting internship report,Software,High,Development
Bank transaction failed but amount deducted for transcript,Finance,High,Accounts
WiFi is not working in Admin Block,Network,Medium,IT
Login page of the portal is not loading,Software,Medium,Development
Exam datesheet clash between internship report and Data Structures,Academic,Medium,Academic Office
Attendance shortage error for course registration course,Academic,High,Academic Office
No response from admin office regarding attendance sheet,Administration,Low,Admin Office
Mess food quality complaint for Lab 3,Hostel,High,Hostel Office
Hostel WiFi not working in room B-113,Hostel,Medium,Hostel Office
Login page of the portal is not loading,Software,High,Development
Water is not available in hostel Lab 3,Hostel,Medium,Hostel Office
HR is not responding to my resignation email,HR,Medium,HR
Incorrect deduction shown in October salary slip,HR,High,HR
Appointment letter not issued yet,HR,High,HR
Network is extremely slow in Lab 2,Network,High,IT
Noise complaint from Sports Complex during exams,Administration,Medium,Admin Office
Monitor in Library has a black screen,Hardware,Low,IT
Leave request not approved since February,HR,High,HR
Salary not received for the month of October,HR,High,HR
Fee already paid but portal shows profile picture pending,Finance,High,Accounts
Noise complaint from Girls Hostel during exams,Administration,Low,Admin Office
ID card not issued after March,Administration,Medium,Admin Office
Bank transaction failed but amount deducted for internship report,Finance,High,Accounts
Noise complaint from Main Block during exams,Administration,Medium,Admin Office
Electricity issue in hostel room A-116,Hostel,Medium,Hostel Office
Refund request for profile picture not processed,Finance,Medium,Accounts
Unable to connect to the campus WiFi from Computer Lab,Network,High,IT
Parking issue near Lab 2,Administration,Low,Admin Office
Provident fund details are missing for August,HR,High,HR
Incorrect GPA shown for semester 7th,Academic,High,Academic Office
Scholarship amount not credited for January,Finance,High,Accounts
Duplicate fee charged for attendance sheet,Finance,High,Accounts
Computer in Girls Hostel is not booting up,Hardware,Low,IT
Cleanliness issue in Cafeteria,Administration,Low,Admin Office
Internet connection keeps disconnecting in Seminar Hall,Network,Medium,IT
Fee already paid but portal shows fee challan pending,Finance,High,Accounts
Leave request not approved since April,HR,Medium,HR
WiFi signal is very weak near Computer Lab,Network,Low,IT
Projector in Lab 1 is not turning on,Hardware,Low,IT
Transcript request pending since July,Academic,High,Academic Office
Mobile app crashes when I open course registration section,Software,High,Development
Exam datesheet clash between fee challan and Networks,Academic,High,Academic Office
Exam datesheet clash between profile picture and Data Structures,Academic,High,Academic Office
Unable to connect to the campus WiFi from Cafeteria,Network,Low,IT
Leave request not approved since October,HR,High,HR
Mobile app crashes when I open fee challan section,Software,High,Development
Hostel WiFi not working in room B-103,Hostel,Medium,Hostel Office
Noise complaint from Lab 2 during exams,Administration,Low,Admin Office
WiFi signal is very weak near Seminar Hall,Network,Medium,IT
Salary not received for the month of October,HR,High,HR
Portal shows error 500 when submitting internship report,Software,High,Development
Provident fund details are missing for December,HR,High,HR
Computer in Admin Block is not booting up,Hardware,Low,IT
Course registration issue for transcript,Academic,Medium,Academic Office
Computer in Boys Hostel is not booting up,Hardware,Medium,IT
Fee already paid but portal shows profile picture pending,Finance,High,Accounts
Water is not available in hostel Auditorium,Hostel,Low,Hostel Office
Salary not received for the month of April,HR,Medium,HR
Computer in Reading Room is not booting up,Hardware,Low,IT
Hostel room D-109 AC is not working,Hostel,High,Hostel Office
Keyboard in Lab 2 lab is broken,Hardware,Low,IT
Monitor in Computer Lab has a black screen,Hardware,Medium,IT
Mobile app crashes when I open leave application section,Software,Medium,Development
Transcript request pending since December,Academic,High,Academic Office
Course registration issue for attendance sheet,Academic,High,Academic Office
Portal shows error 500 when submitting transcript,Software,High,Development
Fee voucher is showing incorrect amount,Finance,Medium,Accounts
Cleanliness issue in Library,Administration,Low,Admin Office
Mobile app crashes when I open thesis document section,Software,High,Development
Printer in Girls Hostel is not printing,Hardware,Medium,IT
Appointment letter not issued yet,HR,High,HR
Attendance shortage error for transcript course,Academic,High,Academic Office
Security guard misbehavior reported near Seminar Hall,Administration,Medium,Admin Office
Scanner in Boys Hostel is out of order,Hardware,Low,IT
Incorrect deduction shown in June salary slip,HR,High,HR
No response from admin office regarding leave application,Administration,Low,Admin Office
Monitor in Lab 1 has a black screen,Hardware,Low,IT
Fee voucher is showing incorrect amount,Finance,High,Accounts
Parking issue near Library,Administration,Low,Admin Office
Printer in Computer Lab is not printing,Hardware,Low,IT
No response from admin office regarding thesis document,Administration,Low,Admin Office
Refund request for internship report not processed,Finance,High,Accounts
Appointment letter not issued yet,HR,Medium,HR
ID card not issued after March,Administration,Low,Admin Office
Duplicate fee charged for result card,Finance,High,Accounts
HR is not responding to my resignation email,HR,High,HR
HR is not responding to my resignation email,HR,Medium,HR
Network is extremely slow in Cafeteria,Network,Low,IT
Incorrect deduction shown in May salary slip,HR,Medium,HR
Mobile app crashes when I open attendance sheet section,Software,High,Development
Unable to upload fee challan on the student portal,Software,High,Development
Fee voucher is showing incorrect amount,Finance,High,Accounts
Bank transaction failed but amount deducted for course registration,Finance,High,Accounts
Keyboard in Admin Block lab is broken,Hardware,Medium,IT
Duplicate fee charged for leave application,Finance,High,Accounts
Keyboard in Auditorium lab is broken,Hardware,Low,IT
Provident fund details are missing for August,HR,High,HR
Exam datesheet clash between internship report and Data Structures,Academic,High,Academic Office
Parking issue near Main Block,Administration,Medium,Admin Office
Projector in Seminar Hall is not turning on,Hardware,Low,IT
Refund request for profile picture not processed,Finance,Medium,Accounts
Hostel room A-109 AC is not working,Hostel,Medium,Hostel Office
Exam datesheet clash between leave application and Data Structures,Academic,High,Academic Office
Hostel WiFi not working in room C-113,Hostel,Medium,Hostel Office
Security guard misbehavior reported near Lab 3,Administration,Medium,Admin Office
Bank transaction failed but amount deducted for attendance sheet,Finance,High,Accounts
